Item,Carton_Qty,Price,Colour,Size,Desc,Weight(Kg),EAN13,DUN14,Image_Path,,,,
2205WHRXL,24,213.50,White     ,XL,Women's Food Coat One Pocket,0.4600,5036108106370,15036108601070,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2205WHR.jpg,,,,
2205WHRXS,24,213.50,White     ,XSmall,Women's Food Coat One Pocket,0.4000,5036108135318,15036108674388,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2205WHR.jpg,,,,
2205WHRXXL,24,213.50,White     ,XXL,Women's Food Coat One Pocket,0.5000,5036108106387,15036108601087,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2205WHR.jpg,,,,
2205WHRXXXL,24,213.50,White     ,3 XL,Women's Food Coat One Pocket,0.5400,5036108106394,15036108742230,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2205WHR.jpg,,,,
2206WHRL,24,262.00,White     ,Large,Food Coat 3 Pockets,0.6200,5036108122059,15036108601094,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2206WHR.jpg,,,,
2201WHRXXL,24,262.00,White     ,Medium,Food Coat 3 Pockets,0.6000,5036108122042,15036108601100,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2206WHR.jpg,,,,
2206WHRS,24,262.00,White     ,Small,Food Coat 3 Pockets,0.5800,5036108122035,15036108601117,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2206WHR.jpg,,,,
2206WHRXL,24,262.00,White     ,XL,Food Coat 3 Pockets,0.6600,5036108122066,15036108601124,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2206WHR.jpg,,,,
2206WHRXS,24,262.00,White     ,XSmall,Food Coat 3 Pockets,0.5600,5036108239832,15036108727770,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2206WHR.jpg,,,,
2201WHRXXL,24,262.00,White     ,XXL,Food Coat 3 Pockets,0.6800,5036108122073,15036108601131,https://d11ak7fd9ypfb7.cloudfront.net/styles1100px/2206WHR.jpg,,,,
